"01.11.2025",,,,,,,,,,
"02.11.2025",,,,,,,,,,
"03.11.2025",,,5,"Рим. 1-5",,,,,,
"04.11.2025",,,,,,,,,,
"05.11.2025",,,,,,,,,,
"06.11.2025",,,,,,,,,,
"07.11.2025",,,,,,,,,,
"08.11.2025",,,,,,,,,,
"09.11.2025",,,,,,,,,,
"10.11.2025",,,,,,,,,,
"11.11.2025",,,,,,,,,,
"12.11.2025",,,,,,,,,,
"13.11.2025",,,,,,,,,,
"14.11.2025",,,,,,,,,,
"15.11.2025",,,,,,,,,,
"16.11.2025",,,,,,,,,,
"17.11.2025",,,,,,,,,,
"18.11.2025",,,,,,,,,,
"19.11.2025",,,,,,,,,,
"20.11.2025",,,,,,,,,,
"21.11.2025",,,5,"Рим. 11-15",,,,,,
"22.11.2025",,,,,,,,,,
"23.11.2025",,,,,,,,,,
"24.11.2025",,,,,,,,,,
"25.11.2025",,,,,,,,,,
"26.11.2025",3,"Быт. 1-3",1,"Мф. 1",,,,,,
"27.11.2025",3,"Быт. 4-6",2,"Мф. 2, Mat. 1",,,,,,
"28.11.2025",3,"Быт. 7-9",2,"Мф. 3, Mat. 2",,,,,,
"28.11.2025",,,,,,,,,,
