"01.02.2026",,,,,,,,,,
"02.02.2026",,,,,,,,,,
"03.02.2026",,,,,,,,,,
"04.02.2026",,,,,,,,,,
"05.02.2026",,,,,,,,,,
"06.02.2026",,,,,,,,,,
"07.02.2026",,,,,,,,,,
"08.02.2026",,,,,,,,,,
"09.02.2026",,,,,,,,,,
"10.02.2026",4,"Быт. 1-4",1,"Рим. 1",,,1,"Духовный человек, 6",,
"11.02.2026",4,"Быт. 5-8",2,"Гал. 1, Рим. 2",,,,,,
"12.02.2026",4,"Быт. 9-12",2,"Гал. 2, Рим. 3",,,,,,
"13.02.2026",,,,,,,1,"Духовный человек, 7",,
"14.02.2026",,,1,"Гал. 3",,,,,,
"15.02.2026",,,,,,,,,,
"16.02.2026",,,1,"Гал. 4",,,,,,
"17.02.2026",,,1,"Гал. 5",,,,,,
"18.02.2026",,,1,"Гал. 6",,,,,,
"19.02.2026",,,1,"Эф. 1",,,,,,
"20.02.2026",,,1,"Эф. 2",,,,,,
"21.02.2026",,,1,"Эф. 3",,,,,,
"22.02.2026",,,1,"Эф. 4",,,,,,
"23.02.2026",,,1,"Эф. 5",,,,,,
